Name,Industry,Location,Rationale,Note
Bhavnagar Logistics Solutions Pvt Ltd 20,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 21,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 22,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 23,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 24,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 25,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 26,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 27,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 28,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 29,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 30,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 31,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 32,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 33,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 34,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 35,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 36,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 37,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 38,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 39,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 40,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 41,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 42,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 43,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 44,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 45,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 46,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 47,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 48,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 49,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 50,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 51,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 52,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 53,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 54,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 55,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 56,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 57,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 58,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 59,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 60,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 61,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 62,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 63,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 64,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 65,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 66,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 67,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 68,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 69,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 70,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 71,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 72,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 73,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 74,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 75,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 76,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 77,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 78,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 79,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 80,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 81,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 82,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 83,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 84,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 85,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 86,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 87,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 88,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 89,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 90,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 91,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 92,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 93,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 94,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 95,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 96,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 97,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 98,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 99,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 100,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 101,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 102,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 103,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 104,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 105,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 106,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 107,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 108,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 109,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 110,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 111,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 112,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 113,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 114,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 115,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 116,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 117,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 118,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 119,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 120,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 121,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 122,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 123,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 124,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 125,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 126,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 127,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 128,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 129,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 130,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 131,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 132,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 133,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 134,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 135,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 136,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 137,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 138,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 139,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 140,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 141,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 142,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 143,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 144,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 145,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 146,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 147,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 148,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 149,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 150,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 151,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 152,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 153,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 154,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 155,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 156,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 157,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 158,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 159,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 160,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 161,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 162,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 163,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 164,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 165,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 166,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 167,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 168,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 169,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 170,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
Gandhinagar Datacenter Solutions Pvt Ltd 171,Datacenter,Gandhinagar,Synthetic candidate: fits Datacenter cluster in Gandhinagar,SYNTHETIC - unverified
Ankleshwar IT Services Solutions Pvt Ltd 172,IT Services,Ankleshwar,Synthetic candidate: fits IT Services cluster in Ankleshwar,SYNTHETIC - unverified
Vapi Automotive Solutions Pvt Ltd 173,Automotive,Vapi,Synthetic candidate: fits Automotive cluster in Vapi,SYNTHETIC - unverified
Dahej Textiles Solutions Pvt Ltd 174,Textiles,Dahej,Synthetic candidate: fits Textiles cluster in Dahej,SYNTHETIC - unverified
Bharuch Packaging Solutions Pvt Ltd 175,Packaging,Bharuch,Synthetic candidate: fits Packaging cluster in Bharuch,SYNTHETIC - unverified
Mehsana Plastics Solutions Pvt Ltd 176,Plastics,Mehsana,Synthetic candidate: fits Plastics cluster in Mehsana,SYNTHETIC - unverified
Anand Construction Solutions Pvt Ltd 177,Construction,Anand,Synthetic candidate: fits Construction cluster in Anand,SYNTHETIC - unverified
Kandla Engineering Solutions Pvt Ltd 178,Engineering,Kandla,Synthetic candidate: fits Engineering cluster in Kandla,SYNTHETIC - unverified
Porbandar Electronics Solutions Pvt Ltd 179,Electronics,Porbandar,Synthetic candidate: fits Electronics cluster in Porbandar,SYNTHETIC - unverified
Ahmedabad Pharmaceuticals Solutions Pvt Ltd 180,Pharmaceuticals,Ahmedabad,Synthetic candidate: fits Pharmaceuticals cluster in Ahmedabad,SYNTHETIC - unverified
Vadodara Chemicals Solutions Pvt Ltd 181,Chemicals,Vadodara,Synthetic candidate: fits Chemicals cluster in Vadodara,SYNTHETIC - unverified
Surat Energy Solutions Pvt Ltd 182,Energy,Surat,Synthetic candidate: fits Energy cluster in Surat,SYNTHETIC - unverified
Rajkot Manufacturing Solutions Pvt Ltd 183,Manufacturing,Rajkot,Synthetic candidate: fits Manufacturing cluster in Rajkot,SYNTHETIC - unverified
Jamnagar Food & Dairy Solutions Pvt Ltd 184,Food & Dairy,Jamnagar,Synthetic candidate: fits Food & Dairy cluster in Jamnagar,SYNTHETIC - unverified
Bhavnagar Logistics Solutions Pvt Ltd 185,Logistics,Bhavnagar,Synthetic candidate: fits Logistics cluster in Bhavnagar,SYNTHETIC - unverified
